Year,gdp_pc,pop_growth,gross_cap_growth,life_exp_pc,for_dir_pc,student_pc,unemp_chng,internet_chng,savings_pc,gdp,pop,gross_cap_form,life_exp,for_dir_inv,student_primary,unemployment,internet_use,gross_dom_sav,uran_prc,uran_pc
1991,,,,,,,,,,2996869281,1415617,462161796.1,62.098,-114076083.3,341701,-1.65338979996328,-9.21034037197618,312043682.1,8.45,-0.141817969827784
1992,0.134852634331939,0.0320257696605459,0.314207263427679,-0.00894516773938303,-0.0490420665131026,0.0216142321209496,-0.0170196694623008,0,0.477352985713061,3429521699,1461687,632779677.8,61.545,-119810064.1,349167,-1.67040946942558,-9.21034037197618,502952720.4,8.5625,0.0132257622192609
1993,-0.0534000808743365,0.0324084628891264,-0.241398160364266,-0.0111924700934347,0.944154528850341,0.0106344128995595,0.0107829154081966,0,-0.0859553893074434,3251188833,1509834,497066659.5,60.86,-46607112.62,352900,-1.65962655401739,-9.21034037197618,461527103.4,10.0770833333333,0.162871665332703
1994,0.120217767098008,0.0316913849081235,0.341092380064207,-0.0168015484493615,-0.803495718233155,0.040998346212227,0.0197294340985783,0,0.458758635168909,3666503530,1558449,699115888.9,59.846,-104089268.2,367669,-1.63989711991881,-9.21034037197618,730186087.7,9.42083333333333,-0.067340319985068
1995,0.0816699431992625,0.0296631636921685,0.0962663223264535,-0.0204598629120536,-0.408091069531316,0.00150294025635311,0.0983514735276272,0.480699412378318,-0.0575905050246952,3978514206,1605370,769763129.3,58.634,-156544442.7,368222,-1.54154564639118,-8.72964095959786,689322279.5,11.6645833333333,0.213633636510978
1996,0.00267304932219048,0.0274610275033798,0.059336122623872,-0.0297030975375119,0.040230405297244,0.0136320752493564,0.0658953437551806,0.162844886346642,-0.0365053727181355,3989163197,1650066,816820174.4,56.918,-150371596.9,373276,-1.475650302636,-8.56679607325122,664612084.3,15.6044444444444,0.290998588517055
1997,0.0407285256881806,0.0258297473472435,-0.103850681896784,-0.0241841154518969,0.509729233833536,0.0175662770689424,0.067110332568791,1.28435722114254,-0.153480618858072,4154989950,1693242,736248931.7,55.558,-90321931.93,379891,-1.40853997006721,-7.28243885210868,570049340.7,12.0978472222222,-0.254528252708985
1998,-0.0702522422444041,0.0249115076791853,0.161887593317658,-0.0265748501480423,-0.0856914472807908,0.0171077734037013,-0.0573605273706939,1.46238688468696,0.0279536666131897,3873109866,1735953,865628538.6,54.101,-98403045.79,386446,-1.4659004974379,-5.82005196742172,586209120.2,10.3871527777778,-0.152457788560887
1999,-0.00117756026149962,0.0240883758441726,-0.0870429856514008,-0.0198817417174859,1.57954094193358,-0.00826026863462914,-0.0635716333583145,0.154194293509995,-0.00243165648660337,3868551730,1778277,793467746.2,53.036,-20277883.61,383267,-1.52947213079622,-5.66585767391172,584785392.7,10.0152777783333,-0.0364580277320106
2000,0.0137807145596369,0.0227194936669282,-0.171517328339668,-0.019919535856848,-2.2069366870284,0.0159625287054226,-0.065077169144131,1.56433111095427,0.0722712194372299,3922232165,1819141,668405859.6,51.99,-184282056.9,389434,-1.59454929994035,-4.10152656295746,628613216.4,8.28459656166667,-0.189713750300426
2001,-0.0976475054720076,0.0202757940882812,0.169159215369529,-0.0141406714596997,-0.728045505245905,0.0203973811779257,0.0374666178401775,0.383003833138194,-0.326193364232527,3557341215,1856402,791598864,51.26,-381653453.5,397459,-1.55708268210017,-3.71852272981926,453648552.6,8.61985780416667,0.0396706338414874
2002,-0.0603009141217505,0.0171558953640236,-0.240216834607526,-0.000117057182567049,0.754651795508877,0.0182593369234425,0.0258087906354263,0.0855319075576855,0.208930127840389,3349169826,1888525,622558714.3,51.254,-179443646.5,404783,-1.53127389146475,-3.63299082226158,559057825.8,9.82791894096242,0.131158618356407
2003,0.385903990642973,0.0141434290218587,0.428032527117917,-0.00334190291191794,0.129803081094057,0.0101488529246279,0.0271414931759164,0.242685867936346,0.0509784606602466,4926439384,1915425,955151981.9,51.083,-157599677.4,408912,-1.50413239828883,-3.39030495432523,588296677.1,11.235977463559,0.13389369664516
2004,0.293847032228353,0.0124422104996516,0.276794255145433,0.00318580535062551,-0.445686902077309,-0.0135416017416894,-0.00591277026723613,0.12400088638939,0.754831249680798,6609205995,1939406,1259745161,51.246,-246101741.2,403412,-1.51004516855607,-3.26630406793584,1251455588,18.0458449074074,0.473794555738667
2005,0.092313758599829,0.0120234000182311,0.123782795853135,0.0105015863253581,-0.486319267925296,0.00194648468485248,0.000859748011056816,0.0524273874964405,0.28231230540014,7248374838,1962865,1425741805,51.787,-400239973.3,404198,-1.50918542054501,-3.2138766804394,1659671431,27.9308697089947,0.436817059111588
2006,0.098886677354816,0.0119983522844969,0.220435181701603,0.0166220483151371,-0.00881905928019933,-0.00413771295915133,-0.014992647938268,0.0923250619980012,0.167708649342657,8001779551,1986558,1777356992,52.655,-403785323.7,402529,-1.52417806848328,-3.1215516184414,1962714176,47.6849338624339,0.534882977706963
2007,0.0995704796153021,0.01247324234172,0.179542971279492,0.0192792918308657,-0.575349171875427,0.0171892951692296,0.0152187746153956,0.0944547334213857,-0.102781413368721,8839536476,2011492,2126910370,53.68,-717829827.3,409508,-1.50895929386788,-3.02709688502001,1771004475,99.238029100529,0.732905802634235
2008,-0.0266084827588386,0.0133630166361822,0.106022692783217,0.0179636152374529,-0.0348237442980128,-0.00515602616101241,-0.00657852337316767,0.0969657750490671,-0.225209554449908,8607431497,2038552,2364799142,54.653,-743267700,407402,-1.51553781724105,-2.93013110997095,1413879481,64.1798363095238,-0.435832213508188
2009,0.0377806734200696,0.0143030356960701,-0.0129113557912639,0.0153068381821209,-0.0289546128348839,-0.00118380703527521,0.0150888298187783,0.198300380203334,-0.85116334033604,8938847189,2067919,2334462643,55.496,-765103324,406920,-1.50044898742227,-2.73183072976761,603610589,46.6714699074074,-0.318556029956104
2010,0.245958410469079,0.0150473540036487,0.152257970008357,0.00930856592768681,0.995894838490713,-0.000946579783139612,-0.00823902191168657,0.578527339489322,0.953316631701689,11431412421,2099271,2718389755,56.015,-282623620.7,406535,-1.50868800933396,-2.15330339027829,1565946796,45.9611111111111,-0.0153374269319455
2011,0.091230614073968,0.0156298266563297,0.0158801600346621,0.00955873954219744,-1.0280696208719,0.00556579743502894,-0.126683285126648,0.033872840382092,-0.00990697531363338,12523359441,2132340,2761902802,56.553,-790120662.5,408804,-1.63537129446061,-2.1194305498962,1550509594,56.2354166666667,0.201751119911806
2012,0.0405833725108273,0.0163406204857921,0.232601208872726,0.0190385195784373,-0.265522110243825,0.0161360746012971,-0.150207315692369,0.075464254318502,-0.584442997236309,13042053592,2167470,3485184807,57.64,-1030405591,415454,-1.78557861015297,-2.0439662955777,864279255.5,48.8989583333334,-0.139790653934666
2013,-0.0796699352074732,0.0169446732352441,0.0156566862546654,0.0181207358276891,0.288959079375939,0.0232865204570238,0.126425105472941,0.0714041155249574,-0.0724736992142532,12043307277,2204510,3540180655,58.694,-771817946.8,425242,-1.65915350468003,-1.97256218005274,803857672.9,38.574663950734,-0.237160407647585
2014,0.0320406415346639,0.0173094393878781,0.200145160964489,0.0190359793181356,0.600538579098867,0.0112105074776814,-0.0271654520900249,0.0653918593133569,0.409004126560692,12435430970,2243001,4324614136,59.822,-423354598.8,430036,-1.68631895677006,-1.90717032073938,1210061370,33.4894312419359,-0.141365782889813
2015,-0.0926402394127166,0.0175460038083273,-0.222008141543405,0.014570211788306,-0.55106052813187,0.0302627627751626,0.113791398356055,0.548407536388469,-0.96692681498136,11335161084,2282704,3463621707,60.7,-734559243.8,443249,-1.572527558414,-1.35876278435091,460125621,36.81507328722,0.0946774577681069
2016,-0.0556100425968147,0.017650265327557,-0.382782911217042,0.0160484560854597,0.69513434357243,0.0258294097767564,0.117954356540819,0.188977082327199,-39.0882371392935,10722018732,2323352,2362054678,61.682,-366550502.1,454847,-1.45457320187319,-1.16978570202372,-205555584.6,26.4851853158918,-0.329321829522714
2017,0.184552064268726,0.0175699918544669,-0.0305361178250259,0.00985690577912646,0.0549281141443245,0.046212772234437,-0.0694671350486869,0.17140075146143,39.1482142092731,12895153160,2364534,2291016828,62.293,-346959546.8,476360,-1.52404033692187,-0.998384950562286,488566997.4,22.0893719806763,-0.181488944985456
2018,0.0592309596447151,0.0172516455160388,-0.115625666924895,0.00469255099185073,0.925200883539738,0.0296977916420946,-0.0914156478377917,0.0823441874433383,0.330189201007698,13682018827,2405680,2040857539,62.586,-137552726.6,490719,-1.61545598475966,-0.916040763118948,679709711.6,24.5441826651609,0.105378280512493
2019,-0.0870051967737808,0.0168846817343855,-0.0597091278624866,0.00778288360523227,37.7778878503846,0.0328759994340206,0.00386575775742037,0.11390013802136,-0.0355743641933479,12541928103,2446644,1922566388,63.075,185463746.2,507120,-1.61159022700224,-0.802140625097588,655954514,25.906443471987,0.0540168529542622
2020,-0.16975761138961,0.0172031062423912,-0.265523923533898,-0.00390774420263806,0.0832618410891115,0.0183644119672124,0.0578708033244866,0.0841720113902596,-0.351725200237738,10583748542,2489098,1474231785,62.829,201566885.8,516519,-1.55371942367776,-0.717968613707329,461446558.6,29.4307678885125,0.127548933470948
2021,0.162102987013601,0.0163585889002746,0.387248742356984,-0.0583303466090301,-39.6440785821903,0.0319532923156807,9.45760628690007e-05,0.0827785719216286,-38.4169893046353,12446290855,2530151,2171429644,59.269,-818060422.9,533290,-1.55362484761489,-0.6351900417857,-104752658.8,32.856292707532,0.110102631477197
